x,y,z
-0.015,-0.002,0.199
-0.016,-0.002,0.199
-0.015,-0.002,0.199
-0.015,-0.002,0.199
-0.014,-0.003,0.199
-0.013,-0.003,0.200
-0.012,-0.004,0.200
-0.011,-0.004,0.200
-0.009,-0.004,0.200
-0.007,-0.004,0.200
-0.005,-0.004,0.200
-0.002,-0.004,0.200
0.001,-0.004,0.200
0.003,-0.004,0.200
0.006,-0.003,0.200
0.009,-0.003,0.200
0.012,-0.002,0.200
0.016,-0.002,0.199
0.019,-0.001,0.199
0.022,-0.000,0.199
0.025,0.000,0.198
0.028,0.001,0.198
0.031,0.002,0.198
0.033,0.003,0.197
0.036,0.003,0.197
0.038,0.004,0.196
0.041,0.005,0.196
0.042,0.005,0.195
0.044,0.005,0.195
0.045,0.006,0.195
0.046,0.006,0.195
