x,y,z
0.028,0.000,0.349
0.028,0.000,0.349
0.027,0.001,0.349
0.026,0.001,0.349
0.025,0.001,0.349
0.024,0.001,0.349
0.023,0.002,0.349
0.021,0.002,0.349
0.020,0.002,0.349
0.018,0.003,0.350
0.016,0.003,0.350
0.015,0.003,0.350
0.013,0.003,0.350
0.011,0.004,0.350
0.009,0.004,0.350
0.007,0.004,0.350
0.006,0.004,0.350
0.004,0.004,0.350
0.002,0.003,0.350
0.000,0.003,0.350
-0.001,0.003,0.350
-0.003,0.003,0.350
-0.004,0.003,0.350
-0.005,0.002,0.350
-0.006,0.002,0.350
-0.007,0.002,0.350
-0.008,0.001,0.350
-0.009,0.001,0.350
-0.009,0.000,0.350
-0.009,0.000,0.350
-0.009,0.000,0.350
-0.009,-0.000,0.350
-0.009,-0.000,0.350
-0.009,-0.000,0.350
-0.009,-0.001,0.350
-0.008,-0.001,0.350
-0.008,-0.001,0.350
-0.007,-0.002,0.350
-0.006,-0.002,0.350
-0.004,-0.002,0.350
-0.003,-0.002,0.350
-0.002,-0.002,0.350
0.000,-0.002,0.350
0.002,-0.002,0.350
0.004,-0.002,0.350
0.005,-0.002,0.350
0.007,-0.002,0.350
0.009,-0.002,0.350
0.011,-0.002,0.350
0.013,-0.002,0.350
0.015,-0.001,0.350
0.017,-0.001,0.350
0.018,-0.001,0.350
0.020,-0.001,0.349
0.022,-0.000,0.349
0.023,-0.000,0.349
0.025,0.000,0.349
0.026,0.000,0.349
0.027,0.000,0.349
0.028,0.000,0.349
0.028,0.000,0.349
