x,y,z
0.046,0.006,0.195
0.045,0.006,0.195
0.044,0.006,0.195
0.043,0.006,0.195
0.041,0.006,0.196
0.039,0.007,0.196
0.037,0.007,0.197
0.034,0.007,0.197
0.032,0.007,0.197
0.029,0.008,0.198
0.026,0.008,0.198
0.023,0.008,0.199
0.021,0.008,0.199
0.018,0.008,0.199
0.015,0.008,0.199
0.012,0.007,0.200
0.009,0.007,0.200
0.006,0.007,0.200
0.003,0.006,0.200
0.000,0.006,0.200
-0.002,0.005,0.200
-0.005,0.004,0.200
-0.007,0.003,0.200
-0.009,0.003,0.200
-0.011,0.002,0.200
-0.012,0.001,0.200
-0.014,0.001,0.200
-0.014,-0.000,0.199
-0.015,-0.001,0.199
-0.015,-0.002,0.199
-0.015,-0.002,0.199
