x,y,z
0.025,-0.000,0.399
0.024,-0.000,0.399
0.024,0.000,0.399
0.023,0.000,0.399
0.022,0.000,0.399
0.021,0.001,0.399
0.020,0.001,0.400
0.019,0.001,0.400
0.017,0.002,0.400
0.016,0.002,0.400
0.014,0.002,0.400
0.013,0.003,0.400
0.011,0.003,0.400
0.010,0.003,0.400
0.008,0.003,0.400
0.007,0.003,0.400
0.005,0.003,0.400
0.003,0.003,0.400
0.002,0.003,0.400
0.000,0.003,0.400
-0.001,0.003,0.400
-0.002,0.003,0.400
-0.003,0.002,0.400
-0.005,0.002,0.400
-0.006,0.002,0.400
-0.006,0.002,0.400
-0.007,0.001,0.400
-0.008,0.001,0.400
-0.008,0.001,0.400
-0.008,0.000,0.400
-0.008,0.000,0.400
-0.008,0.000,0.400
-0.008,-0.000,0.400
-0.008,-0.000,0.400
-0.008,-0.001,0.400
-0.007,-0.001,0.400
-0.007,-0.001,0.400
-0.006,-0.001,0.400
-0.005,-0.002,0.400
-0.004,-0.002,0.400
-0.003,-0.002,0.400
-0.001,-0.002,0.400
0.000,-0.002,0.400
0.001,-0.002,0.400
0.003,-0.002,0.400
0.005,-0.002,0.400
0.006,-0.002,0.400
0.008,-0.002,0.400
0.010,-0.002,0.400
0.011,-0.002,0.400
0.013,-0.002,0.400
0.015,-0.001,0.400
0.016,-0.001,0.400
0.018,-0.001,0.400
0.019,-0.001,0.400
0.021,-0.001,0.399
0.022,-0.000,0.399
0.023,-0.000,0.399
0.024,-0.000,0.399
0.024,-0.000,0.399
0.025,-0.000,0.399
