x,y,z
-0.007,0.000,0.450
-0.007,0.000,0.450
-0.007,0.000,0.450
-0.007,-0.000,0.450
-0.007,-0.000,0.450
-0.007,-0.001,0.450
-0.006,-0.001,0.450
-0.005,-0.001,0.450
-0.004,-0.001,0.450
-0.004,-0.002,0.450
-0.002,-0.002,0.450
-0.001,-0.002,0.450
-0.000,-0.002,0.450
0.001,-0.002,0.450
0.003,-0.002,0.450
0.004,-0.002,0.450
0.006,-0.002,0.450
0.007,-0.002,0.450
0.009,-0.002,0.450
0.010,-0.002,0.450
0.012,-0.002,0.450
0.013,-0.001,0.450
0.015,-0.001,0.450
0.016,-0.001,0.450
0.017,-0.001,0.450
0.019,-0.001,0.450
0.020,-0.001,0.450
0.021,-0.000,0.450
0.021,-0.000,0.449
0.022,-0.000,0.449
0.022,-0.000,0.449
