x,y,z
0.038,0.003,0.247
0.038,0.003,0.247
0.037,0.003,0.247
0.036,0.003,0.247
0.034,0.003,0.248
0.032,0.004,0.248
0.031,0.004,0.248
0.029,0.004,0.248
0.026,0.005,0.249
0.024,0.005,0.249
0.022,0.005,0.249
0.020,0.006,0.249
0.017,0.006,0.249
0.015,0.006,0.250
0.012,0.006,0.250
0.010,0.006,0.250
0.007,0.005,0.250
0.005,0.005,0.250
0.003,0.005,0.250
0.000,0.005,0.250
-0.002,0.004,0.250
-0.004,0.004,0.250
-0.006,0.003,0.250
-0.007,0.003,0.250
-0.009,0.002,0.250
-0.010,0.002,0.250
-0.011,0.001,0.250
-0.012,0.000,0.250
-0.012,-0.000,0.250
-0.013,-0.001,0.250
-0.013,-0.001,0.250
-0.013,-0.001,0.250
-0.013,-0.001,0.250
-0.013,-0.001,0.250
-0.012,-0.002,0.250
-0.011,-0.002,0.250
-0.010,-0.003,0.250
-0.009,-0.003,0.250
-0.007,-0.003,0.250
-0.006,-0.003,0.250
-0.004,-0.003,0.250
-0.002,-0.003,0.250
0.000,-0.003,0.250
0.003,-0.003,0.250
0.005,-0.003,0.250
0.008,-0.003,0.250
0.010,-0.002,0.250
0.013,-0.002,0.250
0.015,-0.002,0.250
0.018,-0.001,0.249
0.020,-0.001,0.249
0.023,-0.000,0.249
0.025,0.000,0.249
0.028,0.001,0.248
0.030,0.001,0.248
0.032,0.002,0.248
0.034,0.002,0.248
0.035,0.002,0.248
0.037,0.003,0.247
0.037,0.003,0.247
0.038,0.003,0.247
